,R1: Excitement,SWE R2 I1: Deliverable,SWE R2 I1: Technical Communication,SWE R2 I1: Learning Ability,SWE R2 I1: Teamwork & Communication,SWE R2 I1: Overall,SWE R2 I2: Deliverable,SWE R2 I2: Technical Communication,SWE R2 I2: Learning Ability,SWE R2 I2: Teamwork & Communication,SWE R2 I2: Overall,Accepted?,Duration (Semesters),Current Member?
0,3,5,3,3,2,2,0,0,0,0,0,0,0,False
1,4,0,0,0,0,1,0,0,0,0,0,0,0,False
2,5,0,0,0,0,1,0,0,0,0,0,0,0,False
3,5,0,0,0,0,1,0,0,0,0,0,0,0,False
4,5,0,0,0,0,1,0,0,0,0,0,0,0,False
5,5,0,0,0,0,1,0,0,0,0,0,0,0,False
6,4,0,0,0,0,1,0,0,0,0,0,0,0,False
7,4,0,0,0,0,1,0,0,0,0,0,0,0,False
8,3,0,0,0,0,1,0,0,0,0,0,0,0,False
9,5,1,1,1,1,1,1,1,1,1,1,0,0,False
10,4,0,0,0,0,1,0,0,0,0,1,0,0,False
11,5,5,5,5,5,5,0,0,0,0,0,1,3,False
12,4,3,5,5,5,5,0,0,0,0,0,1,3,False
13,4,5,5,5,5,5,0,0,0,0,0,1,4,True
14,0,5,5,5,5,5,5,5,5,5,5,1,2,False
15,0,5,4,5,5,5,5,5,5,4,5,1,4,False
16,5,5,5,5,5,5,5,5,5,5,5,1,3,False
17,5,5,5,5,4,5,5,5,5,5,5,1,3,False
18,4,5,4,5,5,5,5,4,5,5,5,1,1,False
19,5,5,5,5,5,5,5,4,5,5,5,1,2,False
20,4,5,4,5,5,5,5,5,5,5,5,1,4,True
21,5,5,4,5,5,5,4,4,4,5,4,1,4,True
22,4,4,5,5,5,5,4,3,5,4,3,1,4,True
23,4,4,4,5,5,5,4,3,4,5,3,1,1,False
24,4,4,4,5,5,4,0,0,0,0,0,1,1,False
25,4,5,4,5,3,4,4,4,5,4,4,1,1,False
26,4,4,5,4,5,4,4,5,5,5,4,1,4,True
27,0,4,3,4,3,3,3,3,4,3,3,1,2,False
28,3,4,3,4,3,3,4,3,3,3,3,1,1,False
29,4,3,3,5,5,4,4,5,5,5,5,0,0,False
30,4,4,3,4,4,4,4,4,4,3,4,0,0,False
31,5,4,4,5,5,4,4,5,4,4,4,0,0,False
32,4,4,3,4,3,4,4,4,3,3,4,0,0,False
33,4,4,3,4,4,4,4,3,3,4,3,0,0,False
34,5,5,5,4,5,4,4,4,4,3,3,0,0,False
35,5,5,3,4,3,3,0,0,0,0,0,0,0,False
36,4,4,3,3,4,3,5,4,4,4,4,0,0,False
37,5,3,3,5,4,3,2,3,3,5,3,0,0,False
38,5,3,3,3,3,3,3,4,2,5,3,0,0,False
39,3,3,3,4,4,3,3,4,5,3,3,0,0,False
40,3,5,5,5,5,5,0,0,0,0,0,0,0,False
41,5,5,5,5,5,5,5,5,5,5,5,0,0,False
42,4,4,4,5,4,4,4,3,4,3,3,0,0,False
