,R1: Excitement,R1: Overall,R1 Average Score,SWE R2 I1: Deliverable,SWE R2 I1: Technical Communication,SWE R2 I1: Learning Ability,SWE R2 I1: Teamwork & Communication,SWE R2 I1: Overall,SWE R2 I2: Deliverable,SWE R2 I2: Technical Communication,SWE R2 I2: Learning Ability,SWE R2 I2: Teamwork & Communication,SWE R2 I2: Overall,SWE R2 Average Score,SWE Performance Score,SWE R2 Status,Accepted?,Duration (Semesters),Current Member?
0,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
1,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
2,4,5,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
4,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
5,3,4,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
6,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
7,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
8,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
9,3,4,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
10,5,4,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
12,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
13,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,False
14,4,4,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
15,3,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
16,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
17,5,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
18,4,4,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
19,4,4,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,False
20,4,4,80,4.5,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,88,85,3,1,2,True
21,5,4,90,4.5,5.0,4.0,5.0,5.0,4.5,5.0,5.0,4.0,5.0,92,91,3,1,2,True
22,0,0,0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,70,70,3,1,3,True
23,5,5,100,4.5,5.0,5.0,5.0,5.0,4.5,5.0,4.0,5.0,4.0,92,95,3,1,2,True
24,4,4,80,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,88,85,3,1,2,True
25,5,4,90,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,88,89,3,1,2,True
26,5,5,100,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,96,97,3,1,2,True
27,5,5,100,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,94,96,3,1,2,True
28,0,0,0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,94,94,3,1,2,False
29,5,5,100,3.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,74,83,3,1,2,True
30,4,4,80,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,78,79,3,1,1,False
31,0,0,0,2.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,62,62,3,1,3,True
32,4,4,80,4.5,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,88,85,3,1,2,True
33,5,5,100,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,88,92,3,1,1,False
