,R1: Excitement,SWE R2 I1: Deliverable,SWE R2 I1: Technical Communication,SWE R2 I1: Learning Ability,SWE R2 I1: Teamwork & Communication,SWE R2 I1: Overall,SWE R2 I2: Deliverable,SWE R2 I2: Technical Communication,SWE R2 I2: Learning Ability,SWE R2 I2: Teamwork & Communication,SWE R2 I2: Overall,SWE R2 Status,Accepted?,Duration (Semesters),Current Member?
0,5,5,4,5,5,5,4,4,4,5,5,3,1,3,True
1,4,5,5,5,5,5,5,5,5,5,5,3,1,2,False
2,5,5,4,5,5,5,5,5,5,5,5,3,1,1,False
3,0,5,4,5,4,5,4,5,5,5,5,3,1,4,True
4,0,5,5,5,5,5,5,5,5,5,5,3,1,4,True
5,0,5,4,5,5,5,5,4,5,5,5,3,1,2,False
6,4,5,5,5,5,5,5,5,5,5,5,3,0,0,False
7,5,4,5,4,5,5,4,4,5,4,4,3,1,2,False
8,0,4,5,5,4,5,4,4,5,5,4,3,1,4,True
9,4,4,5,5,4,5,4,4,5,5,3,3,1,3,True
10,5,4,3,5,4,4,5,5,5,5,5,3,1,3,True
11,4,3,4,4,4,4,4,5,5,5,4,3,1,1,False
12,0,4,3,4,3,4,4,3,5,3,4,3,1,2,False
13,0,4,4,4,4,4,4,4,4,5,4,3,1,4,True
14,5,4,3,4,4,4,4,3,3,3,3,3,1,1,False
15,5,2,3,3,3,3,5,5,3,4,4,3,1,2,False
16,0,3,3,3,3,3,4,4,4,5,4,3,1,4,True
17,4,3,4,3,4,3,3,3,4,4,3,3,1,3,True
18,4,3,4,4,4,4,3,4,5,4,4,1,0,0,False
19,4,4,3,3,4,3,4,4,4,5,4,1,0,0,False
20,4,3,3,4,4,3,2,4,4,4,3,1,0,0,False
21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,False
22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,False
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
24,5,2,4,5,4,4,2,3,4,5,2,0,1,2,False
25,5,4,3,5,2,3,4,4,4,3,4,0,0,0,False
26,0,3,3,4,4,3,3,3,3,4,2,0,0,0,False
27,5,0,0,0,0,1,0,0,0,0,0,0,0,0,False
28,4,0,0,0,0,1,0,0,0,0,0,0,0,0,False
29,5,0,0,0,0,1,0,0,0,0,0,0,0,0,False
30,5,0,0,0,0,1,0,0,0,0,0,0,0,0,False
31,0,0,0,0,0,1,0,0,0,0,0,0,1,4,True
32,4,0,0,0,0,1,0,0,0,0,0,0,0,0,False
33,4,0,0,0,0,1,0,0,0,0,0,0,0,0,False
34,4,0,0,0,0,1,0,0,0,0,0,0,0,0,False
35,4,0,0,0,0,1,0,0,0,0,0,0,0,0,False
36,4,0,0,0,0,1,0,0,0,0,0,0,0,0,False
37,4,0,0,0,0,1,0,0,0,0,0,0,0,0,False
38,4,0,0,0,0,1,0,0,0,0,0,0,0,0,False
39,5,0,0,0,0,1,0,0,0,0,1,0,0,0,False
40,5,1,1,1,1,1,1,1,1,1,1,0,0,0,False
41,0,0,0,0,0,1,1,1,1,1,1,0,0,0,False
42,5,5,5,5,5,5,5,4,5,5,5,2,0,0,False
43,5,5,5,5,4,5,4,5,5,4,4,2,0,0,False
44,3,5,4,5,5,5,4,5,5,5,4,2,0,0,False
45,4,5,5,5,5,5,3,3,4,4,3,2,0,0,False
46,4,5,3,4,4,4,4,5,5,5,4,2,0,0,False
47,4,4,4,4,4,4,4,4,4,4,4,2,0,0,False
48,5,4,5,5,4,4,4,4,4,5,4,2,0,0,False
49,3,5,3,4,2,3,4,3,4,4,4,2,0,0,False
